timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
12:48:08:144,10.448761308276424,5.241891835043822,564.3273547779344,-0.12258033476995234,0.27164365395305407,0.002528653657908643,564.4484187182636,-7,16,-1
12:48:08:270,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:08:432,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:08:555,10.714397771495909,5.2748074891773715,564.3770838193761,0.09490812073338241,-0.26268171654124023,0.003201115251026299,564.5034230667843,6,-15,-1
12:48:08:677,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:08:801,err,err,err,err,err,err,err,err,err,err
12:48:08:928,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:09:073,err,err,err,err,err,err,err,err,err,err
12:48:09:168,err,err,err,err,err,err,err,err,err,err
12:48:09:293,err,err,err,err,err,err,err,err,err,err
12:48:09:415,10.663737174455873,5.277625482995788,564.6738043477409,0.09347006379917458,-0.2600103302005685,0.0029572686798953786,564.7991447743307,5,-15,-1
12:48:09:539,err,err,err,err,err,err,err,err,err,err
12:48:09:661,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:09:784,10.52578641205978,5.256495096676909,565.5610067427414,-0.10307012991616159,0.2446115959001211,-0.0015690332152800267,565.6833701534426,-6,14,-1
12:48:09:910,10.699544908328864,5.270608357614609,563.8450386857871,0.10022136310013796,-0.23681563673447595,0.0029841888476094783,563.9711758807196,6,-14,-1
12:48:10:033,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:10:157,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:10:275,err,err,err,err,err,err,err,err,err,err
12:48:10:399,10.486123885082984,5.229374304263094,563.2472991034393,-0.14175603369948436,0.29335311700144384,0.006309495367581976,563.3691730091971,-8,17,-1
12:48:10:522,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:10:647,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:10:862,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:10:981,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:11:106,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:11:230,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
